English,hi,bn,te,mr,ta,gu,kn,ml,pa,or,as,ur,sa,ne,kok,mai,doi,bodo,sd,ks,mni,sat
What your symptoms and lifestyle say about your lumbar spine — not just a number.,आपके लक्षण और जीवनशैली आपकी लंबर रीढ़ के बारे में क्या कहते हैं — केवल एक संख्या नहीं।,আপনার উপসর্গ ও জীবনযাত্রা আপনার কোমরের মেরুদণ্ড সম্পর্কে কী বলে — শুধু একটি সংখ্যা নয়।,"మీ లక్షణాలు, జీవనశైలి మీ నడుము వెన్నెముక గురించి ఏమి చెబుతున్నాయి — కేవలం ఒక సంఖ్య కాదు.",तुमची लक्षणे आणि जीवनशैली तुमच्या कंबरेबद्दल काय सांगते — फक्त एक आकडा नाही.,உங்கள் அறிகுறிகளும் வாழ்க்கைமுறையும் உங்கள் இடுப்பு முதுகுத்தண்டைப் பற்றி என்ன சொல்கின்றன — வெறும் எண் மட்டுமல்ல.,તમારાં લક્ષણો અને જીવનશૈલી તમારી કમર વિશે શું કહે છે — ફક્ત એક આંકડો નહીં.,ನಿಮ್ಮ ಲಕ್ಷಣಗಳು ಮತ್ತು ಜೀವನಶೈಲಿ ನಿಮ್ಮ ಸೊಂಟದ ಬೆನ್ನುಮೂಳೆಯ ಬಗ್ಗೆ ಏನು ಹೇಳುತ್ತವೆ — ಕೇವಲ ಒಂದು ಸಂಖ್ಯೆಯಲ್ಲ.,നിങ്ങളുടെ ലക്ഷണങ്ങളും ജീവിതശൈലിയും നിങ്ങളുടെ നടുവിനെക്കുറിച്ച് പറയുന്നത് — വെറുമൊരു സംഖ്യയല്ല.,ਤੁਹਾਡੇ ਲੱਛਣ ਅਤੇ ਜੀਵਨ-ਸ਼ੈਲੀ ਤੁਹਾਡੀ ਲੰਬਰ ਰੀੜ੍ਹ ਬਾਰੇ ਕੀ ਕਹਿੰਦੇ ਹਨ — ਸਿਰਫ਼ ਇੱਕ ਨੰਬਰ ਨਹੀਂ।,ଆପଣଙ୍କ ଲକ୍ଷଣ ଓ ଜୀବନଶୈଳୀ ଆପଣଙ୍କ କଟି ମେରୁଦଣ୍ଡ ବିଷୟରେ ଯାହା କୁହେ — କେବଳ ଏକ ସଂଖ୍ୟା ନୁହେଁ।,আপোনাৰ লক্ষণ আৰু জীৱনশৈলীয়ে আপোনাৰ কঁকালৰ বিষয়ে কি কয় — কেৱল এটা সংখ্যা নহয়।,آپ کی علامات اور طرزِ زندگی آپ کی کمر کے بارے میں کیا کہتے ہیں — صرف ایک نمبر نہیں۔,तव लक्षणानि जीवनशैली च तव कटिमेरोः विषये यत् कथयन्ति — न केवलम् अङ्कः।,तपाईंका लक्षण र जीवनशैलीले तपाईंको कम्मरको मेरुदण्डबारे के भन्छ — केवल एउटा संख्या होइन।,तुमचीं लक्षणां आनी जीणसाणी तुमच्या कमरेच्या पाठीविशीं कितें सांगतात — फकत एक आंकडो न्हय.,अहाँक लक्षण आ जीवनशैली अहाँक लम्बर रीढ़क बारेमे की कहैत अछि — केवल एकटा संख्या नहि।,तुंदे लच्छन ते जीवनशैली तुंदी लंबर रीढ़ बारै केह् दस्सदे न — सिर्फ इक नंबर नेईं।,,توهان جون علامتون ۽ طرزِ زندگي توهان جي ڪمر جي ريڙهه جي هڏي بابت ڇا چون ٿيون — صرف هڪ انگ نه.,توہنٛد علامتہ تہٕ طرزِ زندگی توہنٛدِ لمبر ریڑھٕ بارٕس کیا وَنان چھِ — صرف اکھ نمبر نہٕ,নহাক্কী সিম্পটম অমসুং পুন্সিরোলনা নহাক্কী লম্বার মখোংগী মতাংদা করি হায়রিবগে — মশিং অমখক্তা নৎতে।,ᱟᱢᱟᱜ symptom ᱟᱨ jiwi-jaape ᱟᱢᱟᱜ lumbar spine ᱵᱟᱵᱚᱛ ᱪᱮᱫ ᱠᱚᱭᱚ — ᱢᱤᱫ ᱞᱮᱠᱷᱟ ᱜᱮ ᱵᱟᱝ᱾
You can change this anytime in Profile.,आप इसे प्रोफ़ाइल में कभी भी बदल सकते हैं।,আপনি প্রোফাইলে যেকোনো সময় এটি পরিবর্তন করতে পারেন।,మీరు దీన్ని ప్రొఫైల్‌లో ఎప్పుడైనా మార్చవచ్చు.,तुम्ही हे प्रोफाइलमध्ये कधीही बदलू शकता.,இதை சுயவிவரத்தில் எப்போது வேண்டுமானாலும் மாற்றலாம்.,તમે આ ક્યારેય પ્રોફાઇલમાં બદલી શકો છો.,ನೀವು ಇದನ್ನು ಪ್ರೊಫೈಲ್‌ನಲ್ಲಿ ಯಾವಾಗ ಬೇಕಾದರೂ ಬದಲಾಯಿಸಬಹುದು.,പ്രൊഫൈലിൽ നിങ്ങൾക്ക് ഇത് എപ്പോൾ വേണമെങ്കിലും മാറ്റാം.,ਤੁਸੀਂ ਇਸਨੂੰ ਪ੍ਰੋਫਾਈਲ ਵਿੱਚ ਕਦੇ ਵੀ ਬਦਲ ਸਕਦੇ ਹੋ।,ଆପଣ ଏହାକୁ ଯେକୌଣସି ସମୟରେ ପ୍ରୋଫାଇଲ୍‍ରେ ବଦଳାଇ ପାରିବେ।,আপুনি ইয়াক প্ৰ'ফাইলত যিকোনো সময়তে সলনি কৰিব পাৰে।,آپ اسے پروفائل میں کسی بھی وقت تبدیل کر سکتے ہیں۔,इदं त्वं परिचयिकायां कदापि परिवर्तयितुं शक्नोषि।,तपाईं यो प्रोफाइलमा जुनसुकै बेला परिवर्तन गर्न सक्नुहुन्छ।,तुमी हें Profile न्त खंयच्याय वेळार बदलूंक शकतात.,अहाँ एकरा प्रोफाइलमे कखनहु बदलि सकैत छी।,तुस इसी कदें बी प्रोफाइल च बदली सकदे ओ।,बेखौ प्रफाइलआव माब्लाबाबो सोलायनो हागौ।,توهان هي پروفائيل ۾ ڪنهن به وقت تبديل ڪري سگهو ٿا.,توہِ ہیٚکیو یہٕ کانٛہہ تہِ وَقت پروفائلَس مَنٛز بدلٲوِتھ,মসি নহাক্না প্রোফাইলদা মতম খুদিংদা হোংবা য়াই।,ᱱᱚᱶᱟ ᱫᱚ Profile ᱨᱮ ᱡᱟᱦᱟᱸ ᱚᱠᱛᱚ ᱵᱚᱫᱚᱞ ᱫᱟᱲᱮᱭᱟᱜ-ᱟ᱾
Your age,आपकी उम्र,আপনার বয়স,మీ వయసు,तुमचे वय,உங்கள் வயது,તમારી ઉંમર,ನಿಮ್ಮ ವಯಸ್ಸು,നിങ്ങളുടെ പ്രായം,ਤੁਹਾਡੀ ਉਮਰ,ଆପଣଙ୍କ ବୟସ,আপোনাৰ বয়স,آپ کی عمر,तव वयः,तपाईंको उमेर,तुमचें वय,अहाँक उमेर,तुंदी उमर,नोंनि बैसो,توهان جي عمر,توہنٛد عُمر,নহাক্কী চহি,ᱟᱢᱟᱜ ᱩᱢᱮᱨ
Your dashboard,आपका डैशबोर्ड,আপনার ড্যাশবোর্ড,మీ డ్యాష్‌బోర్డ్,तुमचा डॅशबोर्ड,உங்கள் டாஷ்போர்டு,તમારું ડેશબોર્ડ,ನಿಮ್ಮ ಡ್ಯಾಶ್‌ಬೋರ್ಡ್,നിങ്ങളുടെ ഡാഷ്ബോർഡ്,ਤੁਹਾਡਾ ਡੈਸ਼ਬੋਰਡ,ଆପଣଙ୍କ ଡ୍ୟାସ୍‍ବୋର୍ଡ,আপোনাৰ ডেছব'ৰ্ড,آپ کا ڈیش بورڈ,तव फलकम्,तपाईंको ड्यासबोर्ड,तुमचो डॅशबोर्ड,अहाँक डैशबोर्ड,तुंदा डैशबोर्ड,नोंनि dashboard,توهان جو ڊيش بورڊ,توہنٛد ڈیش بورڈ,নহাক্কী ড্যাশবোর্দ,ᱟᱢᱟᱜ dashboard
Your details are pre-filled — review them next.,आपके विवरण पहले से भरे हुए हैं — आगे उनकी समीक्षा करें।,আপনার তথ্য আগে থেকে পূরণ করা আছে — পরবর্তীতে সেগুলো পর্যালোচনা করুন।,మీ వివరాలు ముందుగా నింపబడ్డాయి — తదుపరి వాటిని సమీక్షించండి.,तुमची माहिती आधीच भरलेली आहे — पुढे ती तपासा.,உங்கள் விவரங்கள் முன்கூட்டியே நிரப்பப்பட்டுள்ளன — அடுத்து அவற்றை மதிப்பாய்வு செய்யுங்கள்.,તમારી વિગતો અગાઉથી ભરેલી છે — હવે તે તપાસો.,ನಿಮ್ಮ ವಿವರಗಳನ್ನು ಮೊದಲೇ ಭರ್ತಿ ಮಾಡಲಾಗಿದೆ — ಮುಂದೆ ಅವುಗಳನ್ನು ಪರಿಶೀಲಿಸಿ.,നിങ്ങളുടെ വിവരങ്ങൾ മുൻകൂട്ടി പൂരിപ്പിച്ചിട്ടുണ്ട് — അടുത്തതായി അവ പരിശോധിക്കുക.,ਤੁਹਾਡੇ ਵੇਰਵੇ ਪਹਿਲਾਂ ਹੀ ਭਰੇ ਹੋਏ ਹਨ — ਅੱਗੇ ਉਹਨਾਂ ਦੀ ਸਮੀਖਿਆ ਕਰੋ।,ଆପଣଙ୍କ ବିବରଣୀ ପୂର୍ବରୁ ଭରାଯାଇଛି — ପରେ ସେଗୁଡ଼ିକ ସମୀକ୍ଷା କରନ୍ତୁ।,আপোনাৰ বিৱৰণ আগতীয়াকৈ পূৰ কৰা হৈছে — পৰৱৰ্তীতে সেইবোৰ পৰীক্ষা কৰক।,آپ کی تفصیلات پہلے سے بھری ہوئی ہیں — اگلے مرحلے میں ان کا جائزہ لیں۔,तव विवरणानि पूर्वपूरितानि सन्ति — अग्रे तानि समीक्षताम्।,तपाईंका विवरण पहिल्यै भरिएका छन् — अब तिनलाई समीक्षा गर्नुहोस्।,तुमची म्हायती पयलींच भरिल्ली आसा — फुडें ती तपासात.,अहाँक विवरण पहिने सँ भरल अछि — अगिला बेर ओकर समीक्षा करू।,तुंदे ब्योरे पैह्लें थमां भरे दे न — हुन इनें गी दिक्खो।,नोंनि बाथ्रा सिगांनिफ्राय थियो — उनाव नाय।,توهان جا تفصيل اڳ ۾ ڀريل آهن — اڳتي انهن جو جائزو وٺو.,توہنٛد تفصیٖل پہلہٕ پۄر چھِ — تِم پتہٕ وُچھیو,নহাক্কী অকুপ্পা য়াওবিসিং হান্নদগী থনখ্রে — মথংদা য়েংশিনবিয়ু।,ᱟᱢᱟᱜ ᱠᱟᱛᱷᱟ ᱢᱟᱲᱟᱝ ᱠᱷᱚᱱ ᱯᱩᱨᱟᱹᱣ — ᱛᱟᱭᱚᱢ ᱧᱮᱞ ᱢᱮ᱾
Your pattern suggests significant strain on the lumbar spine. Prompt specialist input is important.,आपका पैटर्न लंबर रीढ़ पर महत्वपूर्ण तनाव का सुझाव देता है। शीघ्र विशेषज्ञ राय लेना महत्वपूर्ण है।,আপনার ধরন কোমরের মেরুদণ্ডে উল্লেখযোগ্য চাপের ইঙ্গিত দেয়। দ্রুত বিশেষজ্ঞের পরামর্শ গুরুত্বপূর্ণ।,మీ నమూనా నడుము వెన్నెముకపై గణనీయమైన ఒత్తిడిని సూచిస్తుంది. తక్షణ నిపుణుల సలహా ముఖ్యం.,तुमची पद्धत कंबरेवर लक्षणीय ताण दर्शवते. तज्ज्ञांचा त्वरित सल्ला महत्त्वाचा आहे.,உங்கள் முறை இடுப்பு முதுகுத்தண்டில் கணிசமான அழுத்தத்தைக் குறிக்கிறது. உடனடி நிபுணர் ஆலோசனை முக்கியம்.,તમારી પેટર્ન કમર પર નોંધપાત્ર તાણ સૂચવે છે. નિષ્ણાતની ઝડપી સલાહ મહત્વપૂર્ણ છે.,ನಿಮ್ಮ ಮಾದರಿಯು ಸೊಂಟದ ಬೆನ್ನುಮೂಳೆಯ ಮೇಲೆ ಗಮನಾರ್ಹ ಒತ್ತಡವನ್ನು ಸೂಚಿಸುತ್ತದೆ. ತ್ವರಿತ ತಜ್ಞರ ಸಲಹೆ ಮುಖ್ಯವಾಗಿದೆ.,നിങ്ങളുടെ മാതൃക നടുവിന് കാര്യമായ സമ്മർദ്ദം സൂചിപ്പിക്കുന്നു. വിദഗ്ധന്റെ ഉടനടി അഭിപ്രായം പ്രധാനമാണ്.,ਤੁਹਾਡਾ ਨਮੂਨਾ ਲੰਬਰ ਰੀੜ੍ਹ 'ਤੇ ਕਾਫ਼ੀ ਖਿਚਾਅ ਦਾ ਸੰਕੇਤ ਦਿੰਦਾ ਹੈ। ਛੇਤੀ ਸਪੈਸ਼ਲਿਸਟ ਦੀ ਸਲਾਹ ਜ਼ਰੂਰੀ ਹੈ।,ଆପଣଙ୍କ ଢାଞ୍ଚା କଟି ମେରୁଦଣ୍ଡ ଉପରେ ଯଥେଷ୍ଟ ଚାପ ଦର୍ଶାଉଛି। ଶୀଘ୍ର ବିଶେଷଜ୍ଞଙ୍କ ମତାମତ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ।,আপোনাৰ আৰ্হিয়ে কঁকালৰ ওপৰত উল্লেখযোগ্য চাপ থকা বুজায়। শীঘ্ৰে বিশেষজ্ঞৰ পৰামৰ্শ লোৱাটো গুৰুত্বপূৰ্ণ।,آپ کا نمونہ کمر پر نمایاں دباؤ ظاہر کرتا ہے۔ ماہر کی فوری رائے ضروری ہے۔,तव प्रतिरूपं कटिमेरौ महतीं तनुतां सूचयति। शीघ्रं विशेषज्ञपरामर्शः महत्त्वपूर्णः।,तपाईंको ढाँचाले कम्मरको मेरुदण्डमा उल्लेखनीय तनाव सुझाव दिन्छ। शीघ्र विशेषज्ञको सल्लाह महत्त्वपूर्ण छ।,तुमचो पॅटर्न कमरेच्या पाठीच्या कण्याचेर चड ताण दाखयता. बेगीन तज्ञाचो सल्लो घेवप म्हत्वाचें.,अहाँक प्रतिरूप लम्बर रीढ़ पर महत्वपूर्ण तनावक संकेत दैत अछि। शीघ्र विशेषज्ञ राय महत्वपूर्ण अछि।,तुंदा ढांचा लंबर रीढ़ पर मता ज़ोर दस्सदा ऐ। तुरंत माहिर दी राय ज़रूरी ऐ।,,توهان جو نمونو ڪمر جي ريڙهه جي هڏي تي اهم دٻاءُ جو اشارو ڏئي ٿو. جلد ماهر جي راءِ اهم آهي.,توہنٛد پیٹرن لمبر ریڑھٕ پؠٹھٕ کٲفی دباو ہاوان چھُ۔ جلدی ماہرَ ہُنٛد مشورہ ضروری چھُ,নহাক্কী পেটার্ননা লম্বার মখোংদা য়াম্না অশোনবা লৈবা উৎলি। থুনা স্পেসিয়েলিস্তকী ৱারোল লৌবা মরু ওই।,ᱟᱢᱟᱜ ᱯᱟᱴᱚᱨᱱ ᱫᱚ lumbar spine ᱨᱮ ᱢᱟᱨᱟᱝ ᱵᱷᱟᱨ ᱩᱫᱩᱜ ᱮᱫᱟ᱾ ᱡᱷᱚᱛ specialist ᱧᱮᱞ ᱞᱟᱹᱠᱛᱤ᱾
Your personal,आपका व्यक्तिगत,আপনার ব্যক্তিগত,మీ వ్యక్తిగత,तुमचे वैयक्तिक,உங்கள் தனிப்பட்ட,તમારો વ્યક્તિગત,ನಿಮ್ಮ ವೈಯಕ್ತಿಕ,നിങ്ങളുടെ വ്യക്തിഗത,ਤੁਹਾਡਾ ਨਿੱਜੀ,ଆପଣଙ୍କ ବ୍ୟକ୍ତିଗତ,আপোনাৰ ব্যক্তিগত,آپ کا ذاتی,तव व्यक्तिगतम्,तपाईंको व्यक्तिगत,तुमचें वैयक्तीक,अहाँक व्यक्तिगत,तुंदा निजी,नोंनि निजि,توهان جو ذاتي,توہنٛد شخصی,নহাক্কী মীওইবগী,ᱟᱢᱟᱜ ᱱᱤᱡᱮᱨᱟᱜ
Your result,आपका परिणाम,আপনার ফলাফল,మీ ఫలితం,तुमचा निकाल,உங்கள் முடிவு,તમારું પરિણામ,ನಿಮ್ಮ ಫಲಿತಾಂಶ,നിങ്ങളുടെ ഫലം,ਤੁਹਾਡਾ ਨਤੀਜਾ,ଆପଣଙ୍କ ଫଳାଫଳ,আপোনাৰ ফলাফল,آپ کا نتیجہ,तव फलम्,तपाईंको नतिजा,तुमचो निकाल,अहाँक परिणाम,तुंदा नतीजा,नोंनि फिथाय,توهان جو نتيجو,توہنٛد نتیجہٕ,নহাক্কী রিজল্ত,ᱟᱢᱟᱜ ᱯᱷᱚᱞ
Your spine age,आपकी रीढ़ की उम्र,আপনার মেরুদণ্ডের বয়স,మీ వెన్నెముక వయసు,तुमच्या मणक्याचे वय,உங்கள் முதுகுத்தண்டு வயது,તમારી કરોડરજ્જુની ઉંમર,ನಿಮ್ಮ ಬೆನ್ನುಮೂಳೆಯ ವಯಸ್ಸು,നിങ്ങളുടെ നട്ടെല്ലിന്റെ പ്രായം,ਤੁਹਾਡੀ ਰੀੜ੍ਹ ਦੀ ਉਮਰ,ଆପଣଙ୍କ ମେରୁଦଣ୍ଡର ବୟସ,আপোনাৰ মেৰুদণ্ডৰ বয়স,آپ کی ریڑھ کی ہڈی کی عمر,तव मेरुवयः,तपाईंको मेरुदण्डको उमेर,तुमची स्पायन वय,अहाँक रीढ़क उमेर,तुंदी रीढ़ दी उमर,नोंनि spine बैसो,توهان جي ريڙهه جي هڏي جي عمر,توہنٛدِ ریڑھٕ ہنٛز عُمر,নহাক্কী মখোংগী চহি,ᱟᱢᱟᱜ spine ᱩᱢᱮᱨ
Your symptoms and lifestyle resemble a noticeably older spine. Early action can slow — and often reverse — this.,आपके लक्षण और जीवनशैली स्पष्ट रूप से अधिक उम्र वाली रीढ़ जैसी हैं। शीघ्र कार्रवाई इसे धीमा कर सकती है — और अक्सर पलट सकती है।,আপনার উপসর্গ ও জীবনযাত্রা লক্ষণীয়ভাবে বয়স্ক মেরুদণ্ডের সাথে মেলে। প্রাথমিক পদক্ষেপ এটি ধীর — এবং প্রায়শই ফিরিয়ে — দিতে পারে।,"మీ లక్షణాలు, జీవనశైలి గమనించదగ్గ స్థాయిలో పెద్ద వయసు వెన్నెముకను పోలి ఉన్నాయి. ముందస్తు చర్యతో దీన్ని నెమ్మది చేయవచ్చు — తరచూ తిప్పికొట్టవచ్చు.",तुमची लक्षणे आणि जीवनशैली लक्षणीयरीत्या जास्त वयाच्या मणक्यासारखी आहेत. लवकर कृती हे मंद करू शकते — आणि बऱ्याचदा उलटही करू शकते.,உங்கள் அறிகுறிகளும் வாழ்க்கைமுறையும் கணிசமாக வயதான முதுகுத்தண்டை ஒத்திருக்கின்றன. ஆரம்பகால நடவடிக்கை இதை மெதுவாக்கும் — பெரும்பாலும் மாற்றியமைக்கவும் செய்யும்.,તમારાં લક્ષણો અને જીવનશૈલી નોંધપાત્ર રીતે વૃદ્ધ કરોડરજ્જુ જેવાં છે. વહેલું પગલું આને ધીમું — અને ઘણીવાર ઉલટાવી — શકે છે.,ನಿಮ್ಮ ಲಕ್ಷಣಗಳು ಮತ್ತು ಜೀವನಶೈಲಿ ಗಮನಾರ್ಹವಾಗಿ ಹೆಚ್ಚು ವಯಸ್ಸಾದ ಬೆನ್ನುಮೂಳೆಯನ್ನು ಹೋಲುತ್ತವೆ. ಮೊದಲೇ ಕ್ರಮ ತೆಗೆದುಕೊಂಡರೆ ಇದನ್ನು ನಿಧಾನಗೊಳಿಸಬಹುದು — ಮತ್ತು ಸಾಮಾನ್ಯವಾಗಿ ಹಿಂದಿರುಗಿಸಬಹುದು.,നിങ്ങളുടെ ലക്ഷണങ്ങളും ജീവിതശൈലിയും വ്യക്തമായും പ്രായമേറിയ ഒരു നട്ടെല്ലിനോട് സാമ്യമുള്ളതാണ്. നേരത്തെയുള്ള നടപടി ഇത് മന്ദഗതിയിലാക്കാം — പലപ്പോഴും മാറ്റാനും.,ਤੁਹਾਡੇ ਲੱਛਣ ਅਤੇ ਜੀਵਨ-ਸ਼ੈਲੀ ਇੱਕ ਕਾਫ਼ੀ ਪੁਰਾਣੀ ਰੀੜ੍ਹ ਵਰਗੇ ਹਨ। ਛੇਤੀ ਕਾਰਵਾਈ ਇਸਨੂੰ ਹੌਲੀ ਕਰ ਸਕਦੀ ਹੈ — ਅਤੇ ਅਕਸਰ ਉਲਟਾ ਸਕਦੀ ਹੈ।,ଆପଣଙ୍କ ଲକ୍ଷଣ ଓ ଜୀବନଶୈଳୀ ସ୍ପଷ୍ଟ ଭାବେ ଅଧିକ ବୟସ୍କ ମେରୁଦଣ୍ଡ ସହ ସମାନ। ଶୀଘ୍ର କାର୍ଯ୍ୟ ଏହାକୁ ମନ୍ଥର କରିପାରେ — ଏବଂ ପ୍ରାୟତଃ ଓଲଟାଇ ପାରେ।,আপোনাৰ লক্ষণ আৰু জীৱনশৈলী এটা লক্ষণীয়ভাৱে বুঢ়া মেৰুদণ্ডৰ দৰে। প্ৰাৰম্ভিক ব্যৱস্থাই ইয়াক লেহেমীয়া কৰিব পাৰে — আৰু প্ৰায়ে ওলোটাব পাৰে।,آپ کی علامات اور طرزِ زندگی نمایاں طور پر بڑی عمر کی ریڑھ کی ہڈی سے مشابہ ہیں۔ جلد اقدام اسے سست — اور اکثر واپس — کر سکتا ہے۔,तव लक्षणानि जीवनशैली च स्पष्टतया जरत्तरमेरुसदृशानि। शीघ्रक्रिया इदं मन्दयितुं — प्रायः प्रतिवर्तयितुं च — शक्नोति।,तपाईंका लक्षण र जीवनशैली स्पष्ट रूपमा बढी उमेरको मेरुदण्डसँग मिल्छन्। प्रारम्भिक कदमले यसलाई सुस्त — र प्रायः उल्टाउन — सक्छ।,तुमचीं लक्षणां आनी जीणसाणी एका स्पश्टपणान म्हातारे पाठीच्या कण्यासारकीं दिसतात. बेगीन कारवाय हें हळू करूंक — आनी कितल्याशाच फावटीं परतें करूंक — शकता.,अहाँक लक्षण आ जीवनशैली स्पष्ट रूपसँ बेसि बूढ़ रीढ़सँ मेल खाइत अछि। प्रारम्भिक कदम एकरा धीमा — आ अकसर उनटा — कऽ सकैत अछि।,तुंदे लच्छन ते जीवनशैली इक काफी पुरानी रीढ़ कन्ने मिलदे न। शुरूआती कदम इसी सुस्त करी सकदे न — ते अक्सर पल्टाई सकदे न।,,توهان جون علامتون ۽ طرزِ زندگي هڪ واضح طور تي وڏي عمر واري ريڙهه جي هڏي سان ملن ٿيون. جلد عمل هن کي سست ڪري سگهي ٿو — ۽ اڪثر واپس به موڙي سگهي ٿو.,توہنٛد علامتہ تہٕ طرزِ زندگی اکھ نمایاں پٲٹھؠ بوٚڈِ ریڑھٕ ہِو چھِ۔ جلدی کٲروائی یہٕ سُست کٔرِتھ — تہٕ اکثر واپس موڑِتھ — ہؠکِ,নহাক্কী সিম্পটম অমসুং পুন্সিরোলনা নহাক্কী চহিদগি হেন্না অহল্লবা মখোং অমগা মান্নৈ। থুনা থবক পায়খৎপনা মসিবু থিংবা — অমসুং অয়াম্বা মতমদা অমুক হনহনবা — য়াই।,ᱟᱢᱟᱜ symptom ᱟᱨ jiwi-jaape ᱫᱚ ᱢᱤᱫ ᱦᱟᱲᱟᱢ spine ᱞᱮᱠᱟ ᱧᱮᱞᱚᱜ-ᱟ᱾ ᱢᱟᱲᱟᱝ ᱠᱟᱹᱢᱤ ᱱᱚᱶᱟ ᱞᱳᱜᱚᱱ ᱫᱟᱲᱮᱭᱟᱜ-ᱟ — ᱟᱨ ᱟᱨᱦᱚᱸ ᱩᱞᱴᱟᱣ ᱫᱟᱲᱮᱭᱟᱜ-ᱟ᱾
